2018-04-13 13:24:39.935792	ROS_Task	{'action': 'BEGIN', 'task': 'Take_Medication'}	
2018-04-13 13:24:40.379889	M005	ON	
2018-04-13 13:24:42.029991	M005	OFF	
2018-04-13 13:24:43.905876	M005	ON	
2018-04-13 13:24:46.183167	M005	OFF	
2018-04-13 13:24:46.217974	M006	ON	
2018-04-13 13:24:46.238560	ZB006	OK	
2018-04-13 13:24:46.403583	MA201	ON	
2018-04-13 13:24:46.714497	MA207	ON	
2018-04-13 13:24:46.910113	M005	ON	
2018-04-13 13:24:47.191056	M010	ON	
2018-04-13 13:24:47.192137	LS010	05	
2018-04-13 13:24:47.256883	M007	ON	
2018-04-13 13:24:48.034474	M005	OFF	
2018-04-13 13:24:48.390328	MA207	OFF	
2018-04-13 13:24:48.806797	M006	OFF	
2018-04-13 13:24:48.816665	M008	ON	
2018-04-13 13:24:48.861730	M010	OFF	
2018-04-13 13:24:48.987086	M009	ON	
2018-04-13 13:24:50.065616	M007	OFF	
2018-04-13 13:24:50.066688	LS007	03	
2018-04-13 13:24:50.697826	M016	ON	
2018-04-13 13:24:51.284814	MA201	OFF	
2018-04-13 13:24:51.349739	ZB202	OK	
2018-04-13 13:24:51.385254	MA202	ON	
2018-04-13 13:24:51.386129	LS202	50	
2018-04-13 13:24:51.741330	M009	OFF	
2018-04-13 13:24:51.796554	M017	ON	
2018-04-13 13:24:51.821613	M008	OFF	
2018-04-13 13:24:51.866796	LS037	03	
2018-04-13 13:24:51.896776	ZB037	OK	
2018-04-13 13:24:53.130826	M016	OFF	
2018-04-13 13:24:53.797637	M018	ON	
2018-04-13 13:24:54.154457	MA202	OFF	
2018-04-13 13:24:54.155382	LS202	51	
2018-04-13 13:24:54.571063	M017	OFF	
2018-04-13 13:24:54.716324	MA202	ON	
2018-04-13 13:24:54.745754	EST318	MOVED	
2018-04-13 13:24:54.754582	EST317	MOVED	
2018-04-13 13:24:54.780055	ROS_Task_Step	{'step': '0', 'task': 'Take_Medication', 'id': 'get_food'}	
2018-04-13 13:24:56.401604	MA202	OFF	
2018-04-13 13:24:57.143917	M018	OFF	
2018-04-13 13:24:57.745829	EST318	STILL	
2018-04-13 13:24:57.754128	EST317	STILL	
2018-04-13 13:24:59.386209	M018	ON	
2018-04-13 13:24:59.751242	EST317	MOVED	
2018-04-13 13:25:00.168437	MA202	ON	
2018-04-13 13:25:00.203716	M017	ON	
2018-04-13 13:25:00.745601	EST318	MOVED	
2018-04-13 13:25:01.457449	M018	OFF	
2018-04-13 13:25:01.742878	EST311	MOVED	
2018-04-13 13:25:01.747198	EST312	MOVED	
2018-04-13 13:25:01.749584	EST318	STILL	
2018-04-13 13:25:01.756248	EST317	STILL	
2018-04-13 13:25:01.775147	ROS_Task_Step	{'step': '1', 'task': 'Take_Medication', 'id': 'get_cup'}	
2018-04-13 13:25:02.274530	MA207	ON	
2018-04-13 13:25:02.455107	M017	OFF	
2018-04-13 13:25:02.745851	EST318	MOVED	
2018-04-13 13:25:02.776082	MA202	OFF	
2018-04-13 13:25:03.742873	EST311	STILL	
2018-04-13 13:25:03.747004	EST312	STILL	
2018-04-13 13:25:03.749841	EST318	STILL	
2018-04-13 13:25:04.516617	MA207	OFF	
2018-04-13 13:25:04.517686	LS207	53	
2018-04-13 13:25:04.745817	EST318	MOVED	
2018-04-13 13:25:04.754433	EST317	MOVED	
2018-04-13 13:25:05.073136	M017	ON	
2018-04-13 13:25:05.399359	MA202	ON	
2018-04-13 13:25:05.742846	EST311	MOVED	
2018-04-13 13:25:05.747726	EST312	MOVED	
2018-04-13 13:25:06.753402	EST315	MOVED	
2018-04-13 13:25:06.780492	ROS_Task_Step	{'step': '2', 'task': 'Take_Medication', 'id': 'fill_cup'}	
2018-04-13 13:25:07.134447	M017	OFF	
2018-04-13 13:25:07.280015	MA202	OFF	
